database_id	catname	subname
JHU03094	Aerospace	Additional Databases
JHU03259	Aerospace	Additional Databases
JHU03344	Aerospace	Additional Databases
JHU05906	Aerospace	Additional Databases
JHU06884	Aerospace	Additional Databases
JHU03111	Aerospace	Core Databases
JHU03112	Aerospace	Core Databases
JHU03113	Aerospace	Core Databases
JHU03803	Aerospace	Core Databases
JHU03966	Aerospace	Core Databases
JHU04727	Aerospace	Core Databases
JHU06405	Aerospace	Core Databases
JHU03570	Aerospace	Handbooks
JHU03659	Aerospace	Handbooks
JHU05242	Aerospace	Handbooks
JHU05053	Aerospace	Standards
JHU03174	African Studies - SAIS	Additional Databases
JHU03259	African Studies - SAIS	Additional Databases
JHU03294	African Studies - SAIS	Additional Databases
JHU03626	African Studies - SAIS	Additional Databases
JHU04131	African Studies - SAIS	Additional Databases
JHU04166	African Studies - SAIS	Additional Databases
JHU04787	African Studies - SAIS	Additional Databases
JHU05101	African Studies - SAIS	Additional Databases
JHU05252	African Studies - SAIS	Additional Databases
JHU05402	African Studies - SAIS	Additional Databases
JHU05543	African Studies - SAIS	Additional Databases
JHU05906	African Studies - SAIS	Additional Databases
JHU06077	African Studies - SAIS	Additional Databases
JHU06212	African Studies - SAIS	Additional Databases
JHU06274	African Studies - SAIS	Additional Databases
JHU06293	African Studies - SAIS	Additional Databases
JHU06718	African Studies - SAIS	Additional Databases
JHU06733	African Studies - SAIS	Additional Databases
JHU06951	African Studies - SAIS	Additional Databases
JHU07021	African Studies - SAIS	Additional Databases
JHU04486	African Studies - SAIS	Background
JHU04540	African Studies - SAIS	Background
JHU05147	African Studies - SAIS	Background
JHU06383	African Studies - SAIS	Background
JHU02546	African Studies - SAIS	Books
JHU03202	African Studies - SAIS	Books
JHU06249	African Studies - SAIS	Books
JHU03668	African Studies - SAIS	Core Databases
JHU04066	African Studies - SAIS	Core Databases
JHU06300	African Studies - SAIS	Core Databases
JHU06385	African Studies - SAIS	Core Databases
JHU06614	African Studies - SAIS	Core Databases
JHU05252	African Studies - SAIS	Digital Primary Sources
JHU06833	African Studies - SAIS	Digital Primary Sources
JHU06961	African Studies - SAIS	Digital Primary Sources
JHU07014	African Studies - SAIS	Digital Primary Sources
JHU07067	African Studies - SAIS	Digital Primary Sources
JHU04543	African Studies - SAIS	Historical News
JHU04816	African Studies - SAIS	Historical News
JHU05064	African Studies - SAIS	Historical News
JHU05481	African Studies - SAIS	Historical News
JHU05576	African Studies - SAIS	Historical News
JHU05661	African Studies - SAIS	Historical News
JHU06829	African Studies - SAIS	Historical News
JHU06864	African Studies - SAIS	Historical News
JHU06905	African Studies - SAIS	Historical News
JHU03965	African Studies - SAIS	News
JHU04345	African Studies - SAIS	News
JHU04598	African Studies - SAIS	News
JHU04723	African Studies - SAIS	News
JHU06250	African Studies - SAIS	News
JHU07081	African Studies - SAIS	News
JHU04453	African Studies - SAIS	Statistics
JHU04486	African Studies - SAIS	Statistics
JHU04540	African Studies - SAIS	Statistics
JHU04604	African Studies - SAIS	Statistics
JHU04722	African Studies - SAIS	Statistics
JHU05230	African Studies - SAIS	Statistics
JHU05975	African Studies - SAIS	Statistics
JHU06471	African Studies - SAIS	Statistics
JHU06885	African Studies - SAIS	Statistics
JHU06950	African Studies - SAIS	Statistics
JHU03180	Africana - Homewood	Additional Databases
JHU03382	Africana - Homewood	Additional Databases
JHU03668	Africana - Homewood	Additional Databases
JHU03747	Africana - Homewood	Additional Databases
JHU03845	Africana - Homewood	Additional Databases
JHU03905	Africana - Homewood	Additional Databases
JHU04359	Africana - Homewood	Additional Databases
JHU04363	Africana - Homewood	Additional Databases
JHU04408	Africana - Homewood	Additional Databases
JHU05101	Africana - Homewood	Additional Databases
JHU05252	Africana - Homewood	Additional Databases
JHU05506	Africana - Homewood	Additional Databases
JHU06000	Africana - Homewood	Additional Databases
JHU06718	Africana - Homewood	Additional Databases
JHU06835	Africana - Homewood	Additional Databases
JHU06925	Africana - Homewood	Additional Databases
JHU06931	Africana - Homewood	Additional Databases
JHU06996	Africana - Homewood	Additional Databases
JHU03896	Africana - Homewood	Background
JHU04355	Africana - Homewood	Background
JHU04360	Africana - Homewood	Background
JHU04361	Africana - Homewood	Background
JHU04997	Africana - Homewood	Background
JHU02546	Africana - Homewood	Books
JHU03202	Africana - Homewood	Books
JHU02950	Africana - Homewood	Core Databases
JHU03294	Africana - Homewood	Core Databases
JHU03588	Africana - Homewood	Core Databases
JHU04066	Africana - Homewood	Core Databases
JHU04165	Africana - Homewood	Core Databases
JHU04166	Africana - Homewood	Core Databases
JHU04378	Africana - Homewood	Core Databases
JHU04809	Africana - Homewood	Core Databases
JHU05543	Africana - Homewood	Core Databases
JHU06212	Africana - Homewood	Core Databases
JHU06300	Africana - Homewood	Core Databases
JHU06385	Africana - Homewood	Core Databases
JHU04345	Africana - Homewood	News
JHU04598	Africana - Homewood	News
JHU04649	Africana - Homewood	News
JHU03327	Africana - Homewood	Primary Sources
JHU03500	Africana - Homewood	Primary Sources
JHU04240	Africana - Homewood	Primary Sources
JHU04344	Africana - Homewood	Primary Sources
JHU04356	Africana - Homewood	Primary Sources
JHU04596	Africana - Homewood	Primary Sources
JHU04673	Africana - Homewood	Primary Sources
JHU04827	Africana - Homewood	Primary Sources
JHU05062	Africana - Homewood	Primary Sources
JHU05070	Africana - Homewood	Primary Sources
JHU05576	Africana - Homewood	Primary Sources
JHU05656	Africana - Homewood	Primary Sources
JHU06294	Africana - Homewood	Primary Sources
JHU06295	Africana - Homewood	Primary Sources
JHU06363	Africana - Homewood	Primary Sources
JHU06442	Africana - Homewood	Primary Sources
JHU06450	Africana - Homewood	Primary Sources
JHU06452	Africana - Homewood	Primary Sources
JHU06668	Africana - Homewood	Primary Sources
JHU06830	Africana - Homewood	Primary Sources
JHU06833	Africana - Homewood	Primary Sources
JHU06869	Africana - Homewood	Primary Sources
JHU06878	Africana - Homewood	Primary Sources
JHU06883	Africana - Homewood	Primary Sources
JHU06887	Africana - Homewood	Primary Sources
JHU06905	Africana - Homewood	Primary Sources
JHU06906	Africana - Homewood	Primary Sources
JHU06907	Africana - Homewood	Primary Sources
JHU06935	Africana - Homewood	Primary Sources
JHU06955	Africana - Homewood	Primary Sources
JHU06961	Africana - Homewood	Primary Sources
JHU06988	Africana - Homewood	Primary Sources
JHU07094	Africana - Homewood	Primary Sources
JHU07095	Africana - Homewood	Primary Sources
JHU07096	Africana - Homewood	Primary Sources
JHU07102	Africana - Homewood	Primary Sources
JHU07103	Africana - Homewood	Primary Sources
JHU07104	Africana - Homewood	Primary Sources
JHU07105	Africana - Homewood	Primary Sources
JHU07106	Africana - Homewood	Primary Sources
JHU04453	Africana - Homewood	Statistics
JHU04488	Africana - Homewood	Statistics
JHU04492	Africana - Homewood	Statistics
JHU04540	Africana - Homewood	Statistics
JHU04722	Africana - Homewood	Statistics
JHU05230	Africana - Homewood	Statistics
JHU05817	Africana - Homewood	Statistics
JHU05975	Africana - Homewood	Statistics
JHU06471	Africana - Homewood	Statistics
JHU06885	Africana - Homewood	Statistics
JHU03044	American Vernacular Music	Recommended Databases
JHU03294	American Vernacular Music	Recommended Databases
JHU03409	American Vernacular Music	Recommended Databases
JHU03849	American Vernacular Music	Recommended Databases
JHU04165	American Vernacular Music	Recommended Databases
JHU03179	Anthropology	Additional Databases
JHU03366	Anthropology	Additional Databases
